Code commune,Nom commune,Pop_2020,COD_DEP,Seg_population
77496,Vieux-Champagne,189,77,Petite population
77498,Vignely,313,77,Petite population
77500,Villebéon,463,77,Petite population
77501,Villecerf,720,77,Petite population
77504,Villemaréchal,1096,77,Petite population
77505,Villemareuil,381,77,Petite population
77506,Villemer,789,77,Petite population
77507,Villenauxe-la-Petite,424,77,Petite population
77508,Villeneuve-le-Comte,1862,77,Petite population
77509,Villeneuve-les-Bordes,615,77,Petite population
77510,Villeneuve-Saint-Denis,1193,77,Petite population
77511,Villeneuve-sous-Dammartin,645,77,Petite population
77512,Villeneuve-sur-Bellot,1128,77,Petite population
77513,Villenoy,4982,77,Petite population
77514,Villeparisis,26700,77,Population moyenne
77515,Villeroy,701,77,Petite population
77516,Ville-Saint-Jacques,845,77,Petite population
77517,Villevaudé,2135,77,Petite population
77518,Villiers-en-Bière,234,77,Petite population
77519,Villiers-Saint-Georges,1168,77,Petite population
77520,Villiers-sous-Grez,659,77,Petite population
77521,Villiers-sur-Morin,1928,77,Petite population
77522,Villiers-sur-Seine,297,77,Petite population
77523,Villuis,258,77,Petite population
77524,Vimpelles,522,77,Petite population
77525,Vinantes,382,77,Petite population
77526,Vincy-Manœuvre,276,77,Petite population
77527,Voinsles,583,77,Petite population
77528,Voisenon,1168,77,Petite population
77529,Voulangis,1490,77,Petite population
77530,Voulton,310,77,Petite population
77531,Voulx,1645,77,Petite population
77532,Vulaines-lès-Provins,65,77,Petite population
77533,Vulaines-sur-Seine,2743,77,Petite population
77534,Yèbles,949,77,Petite population
78003,Ablis,3509,78,Petite population
78005,Achères,21660,78,Population moyenne
78006,Adainville,654,78,Petite population
78007,Aigremont,1085,78,Petite population
78009,Allainville,286,78,Petite population
78010,Les Alluets-le-Roi,1215,78,Petite population
78013,Andelu,482,78,Petite population
78015,Andrésy,13236,78,Population moyenne
78020,Arnouville-lès-Mantes,940,78,Petite population
78029,Aubergenville,12082,78,Population moyenne
78030,Auffargis,1970,78,Petite population
78031,Auffreville-Brasseuil,650,78,Petite population
78033,Aulnay-sur-Mauldre,1143,78,Petite population
78034,Auteuil,976,78,Petite population
78036,Autouillet,612,78,Petite population
78043,Bailly,3692,78,Petite population
78048,Bazainville,1460,78,Petite population
78049,Bazemont,1682,78,Petite population
78050,Bazoches-sur-Guyonne,650,78,Petite population
78053,Béhoust,488,78,Petite population
78057,Bennecourt,1882,78,Petite population
78062,Beynes,7585,78,Petite population
78068,Blaru,892,78,Petite population
78070,Boinville-en-Mantois,287,78,Petite population
78071,Boinville-le-Gaillard,607,78,Petite population
78072,Boinvilliers,250,78,Petite population
78073,Bois-d'Arcy,15028,78,Population moyenne
78076,Boissets,280,78,Petite population
78077,La Boissière-École,756,78,Petite population
78082,Boissy-Mauvoisin,625,78,Petite population
78084,Boissy-sans-Avoir,640,78,Petite population
78087,Bonnelles,2095,78,Petite population
78089,Bonnières-sur-Seine,4882,78,Petite population
78090,Bouafle,2204,78,Petite population
78092,Bougival,8983,78,Petite population
78096,Bourdonné,502,78,Petite population
78104,Breuil-Bois-Robert,754,78,Petite population
78107,Bréval,1901,78,Petite population
78108,Les Bréviaires,1305,78,Petite population
78113,Brueil-en-Vexin,698,78,Petite population
78117,Buc,5972,78,Petite population
78118,Buchelay,3315,78,Petite population
78120,Bullion,1915,78,Petite population
78123,Carrières-sous-Poissy,17417,78,Population moyenne
78124,Carrières-sur-Seine,15115,78,Population moyenne
78125,La Celle-les-Bordes,831,78,Petite population
78126,La Celle-Saint-Cloud,20496,78,Population moyenne
78128,Cernay-la-Ville,1546,78,Petite population
78133,Chambourcy,5646,78,Petite population
78138,Chanteloup-les-Vignes,10730,78,Population moyenne
78140,Chapet,1336,78,Petite population
78143,Châteaufort,1467,78,Petite population
78146,Chatou,29709,78,Population moyenne
78147,Chaufour-lès-Bonnières,478,78,Petite population
78152,Chavenay,1743,78,Petite population
78158,Le Chesnay-Rocquencourt,31057,78,Population moyenne
78160,Chevreuse,5572,78,Petite population
78162,Choisel,540,78,Petite population
78163,Civry-la-Forêt,344,78,Petite population
78164,Clairefontaine-en-Yvelines,829,78,Petite population
78165,Les Clayes-sous-Bois,17378,78,Population moyenne
78168,Coignières,4375,78,Petite population
78171,Condé-sur-Vesgre,1255,78,Petite population
78172,Conflans-Sainte-Honorine,35957,78,Population moyenne
78185,Courgent,366,78,Petite population
78188,Cravent,410,78,Petite population
78189,Crespières,1700,78,Petite population
78190,Croissy-sur-Seine,10324,78,Population moyenne
78192,Dammartin-en-Serve,1381,78,Petite population
78193,Dampierre-en-Yvelines,1012,78,Petite population
78194,Dannemarie,217,78,Petite population
78196,Davron,286,78,Petite population
78202,Drocourt,561,78,Petite population
78206,Ecquevilly,4124,78,Petite population
78208,Élancourt,25857,78,Population moyenne
78209,Émancé,890,78,Petite population
78217,Épône,6625,78,Petite population
78220,Les Essarts-le-Roi,6737,78,Petite population
78224,L'Étang-la-Ville,4430,78,Petite population
78227,Évecquemont,782,78,Petite population
78230,La Falaise,617,78,Petite population
78231,Favrieux,154,78,Petite population
78233,Feucherolles,3001,78,Petite population
78234,Flacourt,186,78,Petite population
78236,Flexanville,579,78,Petite population
78237,Flins-Neuve-Église,155,78,Petite population
78238,Flins-sur-Seine,2439,78,Petite population
78239,Follainville-Dennemont,2167,78,Petite population
78242,Fontenay-le-Fleury,13518,78,Population moyenne
78245,Fontenay-Mauvoisin,401,78,Petite population
78246,Fontenay-Saint-Père,950,78,Petite population
78255,Freneuse,4262,78,Petite population
78261,Gaillon-sur-Montcient,670,78,Petite population
78262,Galluis,1246,78,Petite population
78263,Gambais,2469,78,Petite population
78264,Gambaiseuil,60,78,Petite population
78265,Garancières,2447,78,Petite population
78267,Gargenville,7878,78,Petite population
78269,Gazeran,1295,78,Petite population
78276,Gommecourt,656,78,Petite population
78278,Goupillières,530,78,Petite population
78281,Goussonville,628,78,Petite population
78283,Grandchamp,293,78,Petite population
78285,Gressey,542,78,Petite population
78289,Grosrouvre,892,78,Petite population
78290,Guernes,1075,78,Petite population
78291,Guerville,2157,78,Petite population
78296,Guitrancourt,626,78,Petite population
78297,Guyancourt,29269,78,Population moyenne
78299,Hardricourt,2488,78,Petite population
78300,Hargeville,444,78,Petite population
78302,La Hauteville,164,78,Petite population
78305,Herbeville,242,78,Petite population
78307,Hermeray,942,78,Petite population
78310,Houdan,3690,78,Petite population
78311,Houilles,33250,78,Population moyenne
78314,Issou,3913,78,Petite population
78317,Jambville,787,78,Petite population
78320,Notre-Dame-de-la-Mer,704,78,Petite population
78321,Jouars-Pontchartrain,5803,78,Petite population
78322,Jouy-en-Josas,7983,78,Petite population
78324,Jouy-Mauvoisin,559,78,Petite population
78325,Jumeauville,607,78,Petite population
78327,Juziers,3912,78,Petite population
78329,Lainville-en-Vexin,786,78,Petite population
78334,Lévis-Saint-Nom,1604,78,Petite population
78335,Limay,17112,78,Population moyenne
78337,Limetz-Villez,1972,78,Petite population
78343,Les Loges-en-Josas,1661,78,Petite population
78344,Lommoye,652,78,Petite population
78346,Longnes,1529,78,Petite population
78349,Longvilliers,505,78,Petite population
78350,Louveciennes,7342,78,Petite population
78354,Magnanville,6138,78,Petite population
78356,Magny-les-Hameaux,9417,78,Petite population
78358,Maisons-Laffitte,23204,78,Population moyenne
78361,Mantes-la-Jolie,43945,78,Population moyenne
78362,Mantes-la-Ville,20844,78,Population moyenne
