Geo Point,Geo Shape,OBJECTID,LIBELLE,CONNEX,LIGNE,Latitude,Longitude,arrondissement,commune
"48.97869567115698, 2.476356731356168","{""coordinates"": [2.476356731356168, 48.97869567115698], ""type"": ""Point""}",138,Triangle de Gonesse,Interconnexion,L17,48.97869567115698, 2.476356731356168,Banlieue,Gonesse
"48.89823871963615, 2.226481019311377","{""coordinates"": [2.226481019311377, 48.89823871963615], ""type"": ""Point""}",76,Nanterre La Folie,Interconnexion,L15,48.89823871963615, 2.226481019311377,Banlieue,Nanterre
"48.905328962212565, 2.2670191444009684","{""coordinates"": [2.267019144400968, 48.905328962212565], ""type"": ""Point""}",78,Bécon-les-Bruyères,Interconnexion,L15,48.905328962212565, 2.2670191444009684,Banlieue,Courbevoie
"48.87451112421098, 2.585772676358143","{""coordinates"": [2.585772676358143, 48.87451112421098], ""type"": ""Point""}",84,Chelles,Interconnexion,L16,48.87451112421098, 2.585772676358143,Banlieue,Chelles
"48.95183774022923, 2.4878566474745623","{""coordinates"": [2.487856647474562, 48.95183774022923], ""type"": ""Point""}",86,Aulnay,Non,L16,48.95183774022923, 2.4878566474745623,Banlieue,Aulnay-sous-Bois
"48.77531361191024, 2.3543649436881977","{""coordinates"": [2.354364943688198, 48.77531361191024], ""type"": ""Point""}",93,"Chevilly ""Trois Communes""",Non,L14,48.77531361191024, 2.3543649436881977,Banlieue,L'Haÿ-les-Roses
"48.80981003088594, 2.34975010028334","{""coordinates"": [2.34975010028334, 48.80981003088594], ""type"": ""Point""}",97,Kremlin-Bicêtre Hôpital,Non,L14,48.80981003088594, 2.34975010028334,Banlieue,Le Kremlin-Bicêtre
"48.81121836858584, 2.302360404641418","{""coordinates"": [2.302360404641418, 48.81121836858584], ""type"": ""Point""}",101,Châtillon - Montrouge,Interconnexion,L15,48.81121836858584, 2.302360404641418,Banlieue,Montrouge
"48.78846774596964, 2.3672206932606072","{""coordinates"": [2.367220693260607, 48.78846774596964], ""type"": ""Point""}",102,Villejuif Louis Aragon,Interconnexion,L15,48.78846774596964, 2.3672206932606072,Banlieue,Villejuif
"48.92925178629058, 2.384490757960262","{""coordinates"": [2.384490757960262, 48.92925178629058], ""type"": ""Point""}",109,"La Courneuve ""Six Routes""",Non,L16/L17,48.92925178629058, 2.384490757960262,Banlieue,La Courneuve
"48.79745775906905, 2.328342281414504","{""coordinates"": [2.328342281414504, 48.79745775906905], ""type"": ""Point""}",111,Arcueil - Cachan,Interconnexion,L15,48.79745775906905, 2.328342281414504,Banlieue,Cachan
"48.843455314373834, 2.580787331604636","{""coordinates"": [2.580787331604636, 48.843455314373834], ""type"": ""Point""}",115,Noisy - Champs,Interconnexion,L15/L16,48.843455314373834, 2.580787331604636,Banlieue,Champs-sur-Marne
"48.81619956126625, 2.502041291969572","{""coordinates"": [2.502041291969572, 48.81619956126625], ""type"": ""Point""}",117,Champigny Centre,Interconnexion,L15,48.81619956126625, 2.502041291969572,Banlieue,Champigny-sur-Marne
"48.889231084154794, 2.3153469294141464","{""coordinates"": [2.315346929414146, 48.889231084154794], ""type"": ""Point""}",124,Pont Cardinet,Interconnexion,L14,48.889231084154794, 2.3153469294141464,17ème Ardt,Paris
"48.894259071625335, 2.480198691610314","{""coordinates"": [2.480198691610314, 48.894259071625335], ""type"": ""Point""}",127,Bondy,Interconnexion,L15,48.894259071625335, 2.480198691610314,Banlieue,Bondy
"48.83902252066288, 2.494724556589584","{""coordinates"": [2.494724556589584, 48.83902252066288], ""type"": ""Point""}",132,Nogent - Le Perreux,Interconnexion,L15,48.83902252066288, 2.494724556589584,Banlieue,Le Perreux-sur-Marne
"48.9141719961345, 2.3817985131886186","{""coordinates"": [2.381798513188619, 48.9141719961345], ""type"": ""Point""}",133,Mairie d'Aubervilliers,Interconnexion,L15,48.9141719961345, 2.3817985131886186,Banlieue,Aubervilliers
"49.02589155060857, 2.595519467895824","{""coordinates"": [2.595519467895824, 49.02589155060857], ""type"": ""Point""}",139,Le Mesnil-Amelot,Non,L17,49.02589155060857, 2.595519467895824,Banlieue,Le Mesnil-Amelot
