Gare,Coordonnées,Ligne,Nombre de stations (100m),Nombre de stations (200m),Nombre de stations (300m),Nombre de stations (400m)
Petit-Jouy-les-Loges,"48.77163431277776, 2.146972741512856",RER C,,,,0.0
Mormant,"48.6140152408775, 2.8882528940730743",TRAIN P,0.0,,,
Mormant,"48.6140152408775, 2.8882528940730743",TRAIN P,,0.0,,
Mormant,"48.6140152408775, 2.8882528940730743",TRAIN P,,,0.0,
Mormant,"48.6140152408775, 2.8882528940730743",TRAIN P,,,,0.0
Mouroux,"48.813798481192784, 3.0429382660462956",TRAIN P,0.0,,,
Mouroux,"48.813798481192784, 3.0429382660462956",TRAIN P,,0.0,,
Mouroux,"48.813798481192784, 3.0429382660462956",TRAIN P,,,0.0,
Mouroux,"48.813798481192784, 3.0429382660462956",TRAIN P,,,,0.0
Orsay-Ville,"48.697505669868114, 2.181054439041218",RER B,0.0,,,
Orsay-Ville,"48.697505669868114, 2.181054439041218",RER B,,0.0,,
Orsay-Ville,"48.697505669868114, 2.181054439041218",RER B,,,0.0,
Orsay-Ville,"48.697505669868114, 2.181054439041218",RER B,,,,0.0
Plaisir-Grignon,"48.83191618338393, 1.9444017580668451",TRAIN N,0.0,,,
Plaisir-Grignon,"48.83191618338393, 1.9444017580668451",TRAIN N,,0.0,,
Plaisir-Grignon,"48.83191618338393, 1.9444017580668451",TRAIN N,,,0.0,
Plaisir-Grignon,"48.83191618338393, 1.9444017580668451",TRAIN N,,,,0.0
Poissy,"48.93326540519439, 2.0410722896759257",TRAIN J,0.0,,,
Poissy,"48.93326540519439, 2.0410722896759257",TRAIN J,,0.0,,
Poissy,"48.93326540519439, 2.0410722896759257",TRAIN J,,,0.0,
Poissy,"48.93326540519439, 2.0410722896759257",TRAIN J,,,,0.0
Pontoise,"49.04664576170749, 2.0951950672259683",TRAIN H,0.0,,,
Pontoise,"49.04664576170749, 2.0951950672259683",TRAIN H,,0.0,,
Pontoise,"49.04664576170749, 2.0951950672259683",TRAIN H,,,0.0,
Pontoise,"49.04664576170749, 2.0951950672259683",TRAIN H,,,,0.0
Pontoise,"49.04664576170749, 2.0951950672259683",RER C,0.0,,,
Pontoise,"49.04664576170749, 2.0951950672259683",RER C,,0.0,,
Pontoise,"49.04664576170749, 2.0951950672259683",RER C,,,0.0,
Pontoise,"49.04664576170749, 2.0951950672259683",RER C,,,,0.0
Pontoise,"49.04664576170749, 2.0951950672259683",TRAIN J,0.0,,,
Pontoise,"49.04664576170749, 2.0951950672259683",TRAIN J,,0.0,,
Pontoise,"49.04664576170749, 2.0951950672259683",TRAIN J,,,0.0,
Pontoise,"49.04664576170749, 2.0951950672259683",TRAIN J,,,,0.0
Porchefontaine,"48.796528180240905, 2.1523786602533717",RER C,0.0,,,
Porchefontaine,"48.796528180240905, 2.1523786602533717",RER C,,0.0,,
Porchefontaine,"48.796528180240905, 2.1523786602533717",RER C,,,0.0,
Porchefontaine,"48.796528180240905, 2.1523786602533717",RER C,,,,0.0
Saint-Quentin-en-Yvelines,"48.78739023735681, 2.044621988534177",RER C,0.0,,,
Saint-Quentin-en-Yvelines,"48.78739023735681, 2.044621988534177",RER C,,0.0,,
