Geo Point,Geo Shape,gares_id,nom_long,id_ref_ZdA,nom_ZdA,res_com,mode_,Latitude,Longitude,arrondissement,commune
"48.83664331709734, 2.152697400276264","{""coordinates"": [2.152697400276264, 48.83664331709734], ""type"": ""Point""}",876,Vaucresson,43216,Vaucresson,TRAIN L,TRAIN,48.83664331709734, 2.152697400276264,Banlieue,Vaucresson
"48.981445968476365, 1.9831433520864974","{""coordinates"": [1.983143352086497, 48.981445968476365], ""type"": ""Point""}",883,Vernouillet-Verneuil,47964,Vernouillet - Verneuil,TRAIN J,TRAIN,48.981445968476365, 1.9831433520864974,Banlieue,Verneuil-sur-Seine
"48.38677098650291, 2.8420373888152235","{""coordinates"": [2.842037388815223, 48.38677098650291], ""type"": ""Point""}",882,Vernou-sur-Seine,43218,Vernou-sur-Seine,TRAIN R,TRAIN,48.38677098650291, 2.8420373888152235,Banlieue,Vernou-la-Celle-sur-Seine
"48.92037937299015, 2.1853533763028636","{""coordinates"": [2.185353376302864, 48.92037937299015], ""type"": ""Point""}",1015,Houilles-Carrières-sur-Seine,43082,Carrières-sur-Seine,TRAIN L,TRAIN,48.92037937299015, 2.1853533763028636,Banlieue,Houilles
"49.099650120775024, 1.9705357223217725","{""coordinates"": [1.970535722321773, 49.099650120775024], ""type"": ""Point""}",865,Us,47922,Us,TRAIN J,TRAIN,49.099650120775024, 1.9705357223217725,Banlieue,Us
"48.85426899270086, 2.489167460948014","{""coordinates"": [2.489167460948014, 48.85426899270086], ""type"": ""Point""}",868,Val de Fontenay,47900,Val de Fontenay,RER E,RER,48.85426899270086, 2.489167460948014,Banlieue,Fontenay-sous-Bois
"48.70812051332577, 2.413871150351318","{""coordinates"": [2.413871150351318, 48.70812051332577], ""type"": ""Point""}",893,Vigneux-sur-Seine,45735,Vigneux-sur-Seine,RER D,RER,48.70812051332577, 2.413871150351318,Banlieue,Vigneux-sur-Seine
"48.59281218940513, 2.4615501808974876","{""coordinates"": [2.461550180897488, 48.59281218940513], ""type"": ""Point""}",894,Villabé,47904,Villabé,RER D,RER,48.59281218940513, 2.4615501808974876,Banlieue,Villabé
"48.739830698501535, 2.4263998204748227","{""coordinates"": [2.426399820474823, 48.739830698501535], ""type"": ""Point""}",899,Villeneuve-le-Roi,46307,Villeneuve-le-Roi,RER C,RER,48.739830698501535, 2.4263998204748227,Banlieue,Villeneuve-le-Roi
"48.95314838664854, 2.6031353051184483","{""coordinates"": [2.603135305118448, 48.95314838664854], ""type"": ""Point""}",904,Villeparisis-Mitry-le-Neuf,46725,Villeparisis - Mitry-le-Neuf,RER B,RER,48.95314838664854, 2.6031353051184483,Banlieue,Mitry-Mory
"48.823653267814635, 1.9928645351555556","{""coordinates"": [1.992864535155556, 48.823653267814635], ""type"": ""Point""}",906,Villepreux-les-Clayes,43221,Villepreux - Les Clayes,TRAIN N,TRAIN,48.823653267814635, 1.9928645351555556,Banlieue,Les Clayes-sous-Bois
