Identifiant station,Nom station,Station en fonctionnement,CapacitÃ© de la station,Nombre bornettes libres,Nombre total vÃ©los disponibles,VÃ©los mÃ©caniques disponibles,VÃ©los Ã©lectriques disponibles,Borne de paiement disponible,Retour vÃ©lib possible,Actualisation de la donnÃ©e,CoordonnÃ©es gÃ©ographiques,Nom communes Ã©quipÃ©es,Code INSEE communes Ã©quipÃ©es,station_velib_plus,geometry,Latitude,Longitude,arrondissement,quartier
11047,Amelot - Saint-SÃ©bastien,OUI,30,20,10,4,6,OUI,OUI,2023-06-05T08:28:04+02:00,"48.86114216276092, 2.367799618107727",Paris,,FALSE,,48.86114216276092,2.367799618107727,11ème Ardt,Saint-Ambroise
42706,Roger Salengro - Fontainebleau,OUI,25,21,3,0,3,OUI,OUI,2023-06-05T08:28:50+02:00,"48.814548697325, 2.3611663654447",Le Kremlin-BicÃªtre,,FALSE,,48.814548697325,2.3611663654447,Banlieue,Banlieue
19043,Delphine Seyrig - GÃ©nÃ©ral Leclerc,OUI,53,34,17,8,9,OUI,OUI,2023-06-05T08:30:57+02:00,"48.893923963057865, 2.39790290594101",Pantin,,FALSE,,48.893923963057865,2.39790290594101,19ème Ardt,Pont-de-Flandre
15104,HÃ´pital EuropÃ©en Georges Pompidou,OUI,64,0,63,50,13,OUI,OUI,2023-06-05T08:29:58+02:00,"48.83769531916335, 2.275374233722687",Paris,,FALSE,,48.83769531916335,2.275374233722687,15ème Ardt,Javel
20042,PyrÃ©nÃ©es - Emmery,OUI,40,40,0,0,0,OUI,OUI,2023-06-05T08:27:08+02:00,"48.872010281270974, 2.392039597034455",Paris,,FALSE,,48.872010281270974,2.392039597034455,20ème Ardt,Belleville
19120,Carducci - Place Hannah Arendt,OUI,27,25,1,0,1,OUI,OUI,2023-06-05T08:30:01+02:00,"48.877436681515796, 2.3860743641853337",Paris,,FALSE,,48.877436681515796,2.3860743641853337,19ème Ardt,Combat
15067,Desaix - Edgar Faure,OUI,12,0,12,10,2,OUI,OUI,2023-06-05T08:28:06+02:00,"48.852804604940296, 2.293077029857222",Paris,,FALSE,,48.852804604940296,2.293077029857222,15ème Ardt,Grenelle
19103,Manin - CarriÃ¨res d'AmÃ©rique,OUI,20,19,0,0,0,OUI,OUI,2023-06-05T08:27:52+02:00,"48.88467214209463, 2.3919698596000676",Paris,,FALSE,,48.88467214209463,2.3919698596000676,19ème Ardt,Amérique
43401,Gare RER - Canadiens,OUI,45,17,27,21,6,OUI,OUI,2023-06-05T08:29:41+02:00,"48.81995307955795, 2.464176752459464",Joinville-le-Pont,,FALSE,,48.81995307955795,2.464176752459464,Banlieue,Banlieue
46003,Conservatoire de Musique,OUI,25,17,5,5,0,OUI,OUI,2023-06-05T08:30:54+02:00,"48.77093586667601, 2.4034014344215398",Choisy-le-Roi,,FALSE,,48.77093586667601,2.4034014344215398,Banlieue,Banlieue
26002,Redoute - Les Courtilles,OUI,32,19,12,8,4,OUI,OUI,2023-06-05T08:24:00+02:00,"48.92986719451888, 2.283669635653496",AsniÃ¨res-sur-Seine,,FALSE,,48.92986719451888,2.283669635653496,Banlieue,Banlieue
41209,CimetiÃ¨re de Fontenay-sous-Bois,OUI,15,12,3,1,2,OUI,OUI,2023-06-05T08:29:55+02:00,"48.84706173362218, 2.4787822365760808",Fontenay-sous-Bois,,FALSE,,48.84706173362218,2.4787822365760808,Banlieue,Banlieue
11027,Saint-Ambroise - Parmentier,OUI,38,34,2,1,1,OUI,OUI,2023-06-05T08:29:15+02:00,"48.862147844548, 2.3772348091006",Paris,,FALSE,,48.862147844548,2.3772348091006,11ème Ardt,Saint-Ambroise
21312,Lucie Aubrac - Fort,OUI,30,29,0,0,0,OUI,OUI,2023-06-05T08:30:24+02:00,"48.818144834008976, 2.271184623241425",Issy-les-Moulineaux,,FALSE,,48.818144834008976,2.271184623241425,Banlieue,Banlieue
31022,Mairie de Montreuil,OUI,52,24,27,3,24,OUI,OUI,2023-06-05T08:30:59+02:00,"48.86131452758348, 2.440614402294159",Montreuil,,FALSE,,48.86131452758348,2.440614402294159,Banlieue,Banlieue
18031,Place Albert Kahn,OUI,46,43,1,1,0,OUI,OUI,2023-06-05T08:30:22+02:00,"48.8957969797804, 2.345585584134864",Paris,,FALSE,,48.8957969797804,2.345585584134864,18ème Ardt,Clignancourt
14003,Schoelcher - Raspail,OUI,50,31,17,17,0,OUI,OUI,2023-06-05T08:22:26+02:00,"48.83681733526843, 2.3312794080411474",Paris,,FALSE,,48.83681733526843,2.3312794080411474,14ème Ardt,Montparnasse
17203,Place de la Porte de Champeret,NON,0,0,0,0,0,NON,NON,2023-04-25T08:55:53+02:00,"48.886062068226, 2.2917001576821",Paris,,FALSE,,48.886062068226,2.2917001576821,17ème Ardt,Ternes
46002,Rouget de Lisle,OUI,35,14,20,12,8,OUI,OUI,2023-06-05T08:26:12+02:00,"48.764615483395254, 2.4071189761161804",Choisy-le-Roi,,FALSE,,48.764615483395254,2.4071189761161804,Banlieue,Banlieue
42014,Place Marcel Cachin,OUI,32,17,14,14,0,OUI,OUI,2023-06-05T08:27:06+02:00,"48.81411442356866, 2.39090770483017",Ivry-sur-Seine,,FALSE,,48.81411442356866,2.39090770483017,Banlieue,Banlieue
18003,CimetiÃ¨re de Montmartre,OUI,43,42,0,0,0,OUI,OUI,2023-06-05T08:30:44+02:00,"48.886472466142, 2.3328901827335",Paris,,FALSE,,48.886472466142,2.3328901827335,18ème Ardt,Grandes-Carrières
8017,Rocher - Laborde,OUI,65,32,31,9,22,OUI,OUI,2023-06-05T08:30:28+02:00,"48.87590240712654, 2.322616316378116",Paris,,FALSE,,48.87590240712654,2.322616316378116,8ème Ardt,Europe
11113,Richard Lenoir - Republique,OUI,58,50,3,3,0,OUI,OUI,2023-06-05T08:30:11+02:00,"48.8667175, 2.3692541",Paris,,FALSE,,48.8667175,2.3692541,11ème Ardt,Folie-Méricourt
15054,Lecourbe - Jean Maridor,OUI,19,13,6,4,2,OUI,OUI,2023-06-05T08:30:25+02:00,"48.83796366147599, 2.2877392172813416",Paris,,FALSE,,48.83796366147599,2.2877392172813416,15ème Ardt,Saint-Lambert
10016,RÃ©collets - Square Villemin,OUI,17,17,0,0,0,OUI,OUI,2023-06-05T08:25:49+02:00,"48.875034655883944, 2.359801238597928",Paris,,FALSE,,48.875034655883944,2.359801238597928,10ème Ardt,Porte-Saint-Martin
15106,Grenelle - Violet,OUI,35,23,10,9,1,OUI,OUI,2023-06-05T08:30:01+02:00,"48.84993035512154, 2.294612042605877",Paris,,FALSE,,48.84993035512154,2.294612042605877,15ème Ardt,Grenelle
15042,Henry Farman,OUI,16,0,16,14,2,OUI,OUI,2023-06-05T08:25:31+02:00,"48.83372430280548, 2.2713854536414146",Paris,,FALSE,,48.83372430280548,2.2713854536414146,15ème Ardt,Javel
31102,BoissiÃ¨re - Etienne Dolet,OUI,21,20,0,0,0,OUI,OUI,2023-06-05T08:30:25+02:00,"48.876111, 2.4677312",Montreuil,,FALSE,,48.876111,2.4677312,Banlieue,Banlieue
20112,Jourdain - Place des Grandes Rigoles,OUI,22,21,0,0,0,OUI,OUI,2023-06-05T08:28:44+02:00,"48.87403113727167, 2.38959476351738",Paris,,FALSE,,48.87403113727167,2.38959476351738,20ème Ardt,Belleville
8054,Bertie Albrecht - Hoche,OUI,32,19,11,6,5,OUI,OUI,2023-06-05T08:21:06+02:00,"48.87614039826388, 2.301303138307601",Paris,,FALSE,,48.87614039826388,2.301303138307601,8ème Ardt,Faubourg-du-Roule
